year,oshpd_id,facility_name,county_name,er_service_level_desc,ed_admit,ed_visit,burden_score,facility_id
2014,106190328,GLENDORA COMMUNITY HOSPITAL,LOS ANGELES,BASIC,1345.0,3230.0,0.04478727431304225,glendora-community-hospital
2014,106190352,GREATER EL MONTE COMMUNITY HOSPITAL,LOS ANGELES,BASIC,2319.0,15347.0,0.21280195011834657,greater-el-monte-community-hospital
2014,106190382,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,LOS ANGELES,BASIC,5673.0,29635.0,0.4109197753148629,hollywood-presbyterian-medical-center
2014,106190385,PROVIDENCE HOLY CROSS MEDICAL CENTER,LOS ANGELES,BASIC,10182.0,80304.0,1.1134976088032646,providence-holy-cross-medical-center
2014,106190392,GOOD SAMARITAN HOSPITAL-LOS ANGELES,LOS ANGELES,BASIC,5904.0,27055.0,0.3751454199812254,good-samaritan-hospital-los-angeles
2014,106190400,HUNTINGTON MEMORIAL HOSPITAL,LOS ANGELES,BASIC,14221.0,44802.0,0.6212258401773743,huntington-memorial-hospital
2014,106190413,EMANATE HEALTH INTER-COMMUNITY HOSPITAL,LOS ANGELES,BASIC,6078.0,15203.0,0.21080524191367844,emanate-health-inter-community-hospital
2014,106190422,TORRANCE MEMORIAL MEDICAL CENTER,LOS ANGELES,BASIC,13372.0,53402.0,0.7404736912894991,torrance-memorial-medical-center
2014,106190429,KAISER FOUNDATION HOSPITAL - LOS ANGELES,LOS ANGELES,BASIC,8298.0,57374.0,0.795549559268262,kaiser-foundation-hospital---los-angeles
2014,106190431,KAISER FOUNDATION HOSPITAL - SOUTH BAY,LOS ANGELES,BASIC,6152.0,53389.0,0.740293432909911,kaiser-foundation-hospital---south-bay
2014,106190432,KAISER FOUNDATION HOSPITAL - PANORAMA CITY,LOS ANGELES,BASIC,4594.0,53795.0,0.7459230407647393,kaiser-foundation-hospital---panorama-city
2014,106190434,KAISER FOUNDATION HOSPITAL - WEST LA,LOS ANGELES,BASIC,6030.0,60154.0,0.8340971204417162,kaiser-foundation-hospital---west-la
