year,oshpd_id,facility_name,county_name,er_service_level_desc,ed_admit,ed_visit,burden_score,facility_id,burden_lag_1,burden_lag_2,burden_lag_3,rolling_mean_3,rolling_mean_7,rolling_std_7,pct_change_recent,ed_visits_per_year,month,is_post_covid,year_index,high_burden_next
2017,106040875,ADVENTIST HEALTH FEATHER RIVER,BUTTE,BASIC,3378.0,25296.0,0.3507550746200361,adventist-health-feather-river,0.3543463761825989,0.3447649500060317,0.2867772158954612,0.3499554669362222,0.3128361067702736,0.0416852373560103,-0.010135002934846385,25296.0,1,0,5,0
2018,106040875,ADVENTIST HEALTH FEATHER RIVER,BUTTE,BASIC,2584.0,21891.0,0.3035412451971541,adventist-health-feather-river,0.3507550746200361,0.3543463761825989,0.3447649500060317,0.33621423199992967,0.31150826940268506,0.0382150656466676,-0.13460626185958255,21891.0,1,0,6,0
2015,106190323,ADVENTIST HEALTH GLENDALE,LOS ANGELES,BASIC,13637.0,43288.0,0.6002326719699607,adventist-health-glendale,0.4636800164173786,0.4773935192952729,0.4536964753940379,0.513768735894204,0.4987506707691625,0.06834850840693764,0.29449760765550237,43288.0,1,0,3,0
2016,106190323,ADVENTIST HEALTH GLENDALE,LOS ANGELES,BASIC,14821.0,44832.0,0.6216418210533468,adventist-health-glendale,0.6002326719699607,0.4636800164173786,0.4773935192952729,0.5618515031468952,0.5233289008259994,0.08077181386302966,0.0356680835335427,44832.0,1,0,4,1
2017,106190323,ADVENTIST HEALTH GLENDALE,LOS ANGELES,BASIC,14961.0,45039.0,0.6245120890975573,adventist-health-glendale,0.6216418210533468,0.6002326719699607,0.4636800164173786,0.6154621940402882,0.5401927655379257,0.08322023990539831,0.004617237687366305,45039.0,1,0,5,0
2018,106190323,ADVENTIST HEALTH GLENDALE,LOS ANGELES,BASIC,13805.0,44998.0,0.6239435819003948,adventist-health-glendale,0.6245120890975573,0.6216418210533468,0.6002326719699607,0.6233658306837663,0.5521571678754212,0.08230047835815413,-0.0009103221652346522,44998.0,1,0,6,1
2019,106190323,ADVENTIST HEALTH GLENDALE,LOS ANGELES,BASIC,14374.0,47991.0,0.665444607293254,adventist-health-glendale,0.6239435819003948,0.6245120890975573,0.6216418210533468,0.637966759430402,0.5824069010038808,0.07892446168480807,0.06651406729187963,47991.0,1,0,7,0
2020,106190323,ADVENTIST HEALTH GLENDALE,LOS ANGELES,BASIC,11763.0,34248.0,0.4748837680102387,adventist-health-glendale,0.665444607293254,0.6239435819003948,0.6245120890975573,0.5880906524012959,0.5820483651060187,0.07948473424540999,-0.2863661936613115,34248.0,1,1,8,0
2021,106190323,ADVENTIST HEALTH GLENDALE,LOS ANGELES,BASIC,12008.0,36215.0,0.5021582474448375,adventist-health-glendale,0.4748837680102387,0.665444607293254,0.6239435819003948,0.5474955409161101,0.5875452552527985,0.07078934970274157,0.05743401074515306,36215.0,1,1,9,0
2022,106190323,ADVENTIST HEALTH GLENDALE,LOS ANGELES,BASIC,12030.0,37767.0,0.5236783247618163,adventist-health-glendale,0.5021582474448375,0.4748837680102387,0.665444607293254,0.5002401134056308,0.5766089199373493,0.07432763331413567,0.042855170509457384,37767.0,1,1,10,0
2023,106190323,ADVENTIST HEALTH GLENDALE,LOS ANGELES,BASIC,12623.0,41768.0,0.5791563075873526,adventist-health-glendale,0.5236783247618163,0.5021582474448375,0.4748837680102387,0.5349976265980021,0.5705395608707787,0.07172662175353385,0.10593904731644038,41768.0,1,1,11,1
2024,106190323,ADVENTIST HEALTH GLENDALE,LOS ANGELES,BASIC,12470.0,49142.0,0.6814044069014,adventist-health-glendale,0.5791563075873526,0.5236783247618163,0.5021582474448375,0.5947463464168563,0.5786670348427564,0.08142874089154462,0.17654663857498545,49142.0,1,1,12,0
2015,106164029,ADVENTIST HEALTH HANFORD,KINGS,BASIC,7350.0,114601.0,1.5890608122442584,adventist-health-hanford,1.4730853440231175,1.3821241924771246,1.318687108891314,1.4814234495815002,1.4407393644089537,0.11744219250721041,0.07872963280213104,114601.0,1,0,3,1
2016,106164029,ADVENTIST HEALTH HANFORD,KINGS,BASIC,7410.0,117483.0,1.6290227083960194,adventist-health-hanford,1.5890608122442584,1.4730853440231175,1.3821241924771246,1.5637229548877984,1.4783960332063668,0.13204023992808345,0.025148122616731106,117483.0,1,0,4,1
2017,106164029,ADVENTIST HEALTH HANFORD,KINGS,BASIC,6915.0,115620.0,1.6031902959981257,adventist-health-hanford,1.6290227083960194,1.5890608122442584,1.4730853440231175,1.607091272212801,1.499195077004993,0.128620765453467,-0.015857613441944585,115620.0,1,0,5,0
2018,106164029,ADVENTIST HEALTH HANFORD,KINGS,BASIC,6476.0,106876.0,1.4819457366813324,adventist-health-hanford,1.6031902959981257,1.6290227083960194,1.5890608122442584,1.5713862470251592,1.4967308855301844,0.1175950258255061,-0.07562705414288197,106876.0,1,0,6,0
